"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3829","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","2113","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","1322","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2324","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","0","test_logout","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","1600","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1698","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","5784","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","3287","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1898","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3565","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","1636","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1423","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","2009","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","1949","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","11048","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1546","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2930","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1706","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3361","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","6557","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1557","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1878","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1923","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3107","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1618","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-06-23","passed","2026-06-23","","test_markers","",""
"","3173","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","1593","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1455","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","2246","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","1860","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
